TrainingHours,FitnessScore,PerformanceRating,OpponentRank
6.99,55.19,3.481,84
5.72,64.45,6.421,5
7.3,69.13,6.097,43
9.05,76.5,5.496,81
5.53,85.24,5.55,54
5.53,81.94,5.176,62
9.16,63.21,7.959,10
7.53,71.28,6.567,30
5.06,75.76,7.087,7
7.09,72.38,6.251,57
5.07,72.31,6.421,11
5.07,57.77,3.636,72
6.48,63.47,5.165,51
2.17,70.97,2.942,64
2.55,44.07,3.321,31
4.88,81.41,6.97,1
3.97,61.27,2.206,89
6.63,81.87,5.487,58
4.18,80.99,3.269,92
3.18,69.56,2.633,87
8.93,85.01,7.082,51
5.55,82.43,3.806,93
6.14,71.91,6.572,22
3.15,70.78,2.752,74
4.91,85.97,5.345,46
6.22,77.32,6.854,17
3.7,85.45,6.116,13
6.75,51.11,3.743,80
4.8,75.98,3.617,76
5.42,59.23,3.172,79
4.8,74.74,5.18,39
9.7,82.14,8.617,19
5.97,92.39,4.656,85
3.88,65.62,3.319,61
7.65,69.74,4.2,96
3.56,74.04,6.05,5
6.42,65.25,4.753,57
2.08,84.79,4.322,47
3.34,74.3,3.347,79
6.39,76.22,6.402,32
7.48,81.2,8.16,1
6.34,74.28,4.458,79
5.77,66.82,5.194,35
5.4,74.37,3.755,84
3.04,66.44,4.469,31
4.56,76.08,5.842,20
5.08,84.97,5.898,47
8.11,63.25,6.71,24
6.69,59.68,5.531,40
2.47,75.49,2.901,74
6.65,67.32,3.961,78
5.23,75.32,2.85,99
4.65,78.2,4.26,64
7.22,53.56,3.355,93
8.06,81.9,5.291,73
7.86,63.3,6.973,10
4.32,74.78,4.076,61
5.38,68.41,6.68,2
6.66,69.48,6.504,23
7.95,91.94,5.657,82
5.04,78.19,4.394,65
5.63,84.05,5.042,58
3.79,76.51,6.082,11
3.61,81.2,5.203,36
7.63,79.17,4.722,97
8.71,77.54,6.188,63
5.86,86.07,6.32,36
8.01,76.57,5.813,57
6.72,97.85,5.185,88
4.71,84.61,3.56,89
6.72,63.6,6.187,23
9.08,73.23,6.533,54
5.93,78.97,5.099,63
9.13,75.44,5.277,86
0.76,81.87,4.174,33
7.64,82.97,6.337,47
6.17,61.4,6.588,19
5.4,87.81,6.075,34
6.18,70.03,6.124,23
2.02,69.04,1.152,90
5.56,69.01,3.147,86
6.71,83.09,5.312,67
8.96,72.33,8.316,4
4.96,68.36,2.777,97
4.38,70.76,3.604,75
